epoch,accuracy,loss,val_accuracy,val_loss
0,0.37669528,1.3219868142024784,0.4265129566192627,1.2807377023724382
1,0.65098256,0.987295865517655,0.6224783658981323,0.9733926772384204
2,0.7957376,0.5900847371714022,0.6829971075057983,0.7949530604249806
3,0.85303074,0.4181807986461915,0.680115282535553,0.805094823713605
4,0.88541377,0.3291070309663261,0.6916426420211792,0.8215176938933667
5,0.9094935,0.27015413239561153,0.6685879230499268,0.9324115693397412
6,0.93080544,0.2204215266954988,0.6945244669914246,0.9538456077878001
7,0.93938553,0.18863662498300174,0.6945244669914246,1.0035178444914583
8,0.9535012,0.15225042224986185,0.680115282535553,1.0926261470365937
9,0.9606975,0.13410217144830452,0.6974063515663147,1.1663861975546186
10,0.9623582,0.1239880098139781,0.6714697480201721,1.2002940919969542
11,0.96706337,0.10743038639026173,0.680115282535553,1.2694836999222594
12,0.9673402,0.1008440869796682,0.6829971075057983,1.2961234063854823
13,0.9673402,0.09858182788208651,0.6714697480201721,1.3549050405320928
14,0.97259897,0.0860759718511166,0.6714697480201721,1.4016917287788062
15,0.97342926,0.08733526938160535,0.6685879230499268,1.437005374204872
16,0.97232217,0.08680476538616305,0.6685879230499268,1.4468591309418253
17,0.97508997,0.07517639353227952,0.6714697480201721,1.4792484845482994
18,0.97508997,0.0771576746264068,0.6772334575653076,1.4758471807073104
19,0.97592026,0.06899761008096143,0.6772334575653076,1.6100844100160627
20,0.97481316,0.07403780557081173,0.6685879230499268,1.551442072439606
21,0.9784113,0.06400744911461631,0.6887608170509338,1.5413320782548756
22,0.9739828,0.07133779192223233,0.6829971075057983,1.562721877345434
23,0.97758096,0.06516608173208589,0.6484149694442749,1.6596818547427483
24,0.97730416,0.06636255998664489,0.6657060384750366,1.6193630169722808
